,N,P_CODE,NRM_REGION,REEF,DEPTH,VISIT_NO,LATITUDE,LONGITUDE,Date,subregion,A,AB,HC,SC,CoralCover,MA,ST,Acr,RANK,DISTURBANCE,STORM_NAME,DISTURBANCE_DATE,juv5.d.nf,juv5.abun.nf,MAprop,yr,DateRange,NumYearsInRange,Change.score.linear.mean,CoralCover.score,juv.score,ma.score,gen.composition,composition.score
356,1310,IN,Wet Tropics,Fitzroy East,5,NA,NA,NA,NA,Johnstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2006 - 2009,4,1,0.755492662,0.56548568,1,NA,0.5
357,280,IN,Wet Tropics,Fitzroy East,5,6,-16.9241,146.0068667,2/06/2010,Johnstone,35.0625,2.5625,49.8125,7.375,57.1875,0.1875,0,32.6875,1,d,,NA,5.521391445,62,0.534759358,2010,2007 - 2010,4,0.705164785,0.7625,0.465813675,1,0.456728057,0.5
358,295,IN,Wet Tropics,Fitzroy East,5,7,-16.9241,146.0068667,30/05/2011,Johnstone,53.70440252,1.315251572,31.00943396,7.639150943,38.64858491,0.500393082,0,16.94378931,1,d,,NA,1.963128487,37.5,0.931754304,2011,2008 - 2011,4,0.371831451,0.515314465,0.170706825,1,0.353104521,0
359,301,IN,Wet Tropics,Fitzroy East,5,8,-16.9241,146.0068667,9/08/2012,Johnstone,56.67059748,1.250786164,30.20007862,7.564072327,37.76415094,0.437893082,0,12.56289308,1,c,,NA,3.301725533,65,0.772698897,2012,2009 - 2012,4,0.057747177,0.503522013,0.287106568,1,0.346928336,0
360,1311,IN,Wet Tropics,Fitzroy East,5,NA,NA,NA,NA,Johnstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2010 - 2013,4,0.057747177,0.503522013,0.287106568,1,NA,0
361,331,IN,Wet Tropics,Fitzroy East,5,10,-16.9241,146.0068667,13/06/2014,Johnstone,66.8125,1.75,17.3125,10.8125,28.125,0.5625,0.0625,0.75,1,c,,NA,4.498516584,102.5,0.841908326,2014,2011 - 2014,4,0,0.375,0.391175355,1,0.047739981,0
362,1312,IN,Wet Tropics,Fitzroy East,5,NA,NA,NA,NA,Johnstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2012 - 2015,4,NA,0.375,0.391175355,1,NA,0
363,348,IN,Wet Tropics,Fitzroy East,5,12,-16.9241,146.0068667,19/07/2016,Johnstone,56.6875,0.9375,27.1875,11,38.1875,1,0,2.5625,1,n,,NA,5.790893694,107.5,1.764057332,2016,2013 - 2016,4,1,0.509166667,0.485063835,0.96917154,0.130048978,0
364,1313,IN,Wet Tropics,Fitzroy East,5,NA,NA,NA,NA,Johnstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,2014 - 2017,4,1,0.509166667,0.485063835,0.96917154,NA,0
365,382,IN,Wet Tropics,Fitzroy East,5,14,-16.9241,146.0068667,3/06/2018,Johnstone,52.0625,0.8125,26.625,15.5,42.125,2,0.0625,3.625,1,b,,1/02/2020,6.5201748,115.5,3.841536615,2018,2015 - 2018,4,1,0.561666667,0.537155343,0.72498686,0.175191057,0
366,1314,IN,Wet Tropics,Fitzroy East,5,NA,NA,NA,NA,Johnstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,2016 - 2019,4,1,0.561666667,0.537155343,0.72498686,NA,0
367,402,IN,Wet Tropics,Fitzroy East,5,16,-16.9241,146.0068667,7/08/2020,Johnstone,36.875,1.5625,37.6875,17.1875,54.875,0.3125,0,8.8125,1,n,,NA,7.81330276,98,0.847457627,2020,2017 - 2020,4,1,0.731666667,0.629521626,1,0.187707197,0
368,415,IN,Wet Tropics,Fitzroy East,5,17,-16.9241,146.0068667,25/06/2021,Johnstone,44.5625,1.8125,34.875,14.5,49.375,0.3125,0,7.1875,1,c,,NA,5.750752104,86.5,0.701262272,2021,2018 - 2021,4,1,0.658333333,0.482196579,1,0.178675657,0
369,437,IN,Wet Tropics,Fitzroy East,5,18,-16.9241,146.0068667,16/05/2022,Johnstone,39.01808176,0.9375,36.95676101,17.08176101,54.03852201,0.812893082,0,8.884827044,1,n,,NA,5.91511616,78,2.08337531,2022,2019 - 2022,4,0.757509431,0.720513627,0.493936869,0.931639248,0.280301605,0
370,442,IN,Wet Tropics,Fitzroy East,5,19,-16.9241,146.0068667,6/07/2023,Johnstone,36.40762579,1,38.21305031,18.6918239,56.90487421,0.939072327,0,11.0668239,1,n,,NA,7.63512896,87.5,2.579328662,2023,2020 - 2023,4,0.612815463,0.758731656,0.616794926,0.873345425,0.33797985,0
371,456,IN,Wet Tropics,Fitzroy East,5,20,-16.9241,146.0068667,16/06/2024,Johnstone,34.95007862,1.317610063,42.0797956,15.57232704,57.65212264,2.4375,0,11.25982704,1,n,,NA,5.670603779,68,6.974233239,2024,2021 - 2024,4,0.612815463,0.768694969,0.476471699,0.356773068,0.266502655,0
372,5,IN,Wet Tropics,Fitzroy West,2,1,-16.92331667,145.9962667,30/08/2005,Johnstone,39.3125,0.3125,17.25,42.3125,59.5625,0,0,9.125,NA,NA,NA,NA,8.626395643,57.5,0,2005,2002 - 2005,1,NA,0.794166667,0.687599689,1,0.22758384,0.5
373,19,IN,Wet Tropics,Fitzroy West,2,2,-16.92331667,145.9962667,29/05/2006,Johnstone,41.10888365,0.8125,20.84709119,36.29284591,57.13993711,0.313679245,0,12.2047956,1,n,,NA,9.991181817,69.5,0.763044913,2006,2003 - 2006,2,1,0.761865828,0.785084416,1,0.086451489,0
374,34,IN,Wet Tropics,Fitzroy West,2,3,-16.92331667,145.9962667,17/08/2007,Johnstone,31.10298742,0.500393082,28.79441824,38.78734277,67.58176101,0.5625,0,16.03773585,1,n,,NA,6.239791094,64,1.808507949,2007,2004 - 2007,3,1,0.901090147,0.517127935,1,0.238291839,0.5
375,37,IN,Wet Tropics,Fitzroy West,2,4,-16.92331667,145.9962667,5/07/2008,Johnstone,23.5625,0.1875,38.6875,36.375,75.0625,0.0625,0,25.3125,1,n,,NA,9.683360582,76.5,0.265251989,2008,2005 - 2008,4,1,1,0.763097184,1,0.233243783,0.5
376,49,IN,Wet Tropics,Fitzroy West,2,5,-16.92331667,145.9962667,23/08/2009,Johnstone,24.75,0.625,41.0625,32.5,73.5625,0.375,0.0625,28,1,n,,NA,8.601249919,72.5,1.515151515,2009,2006 - 2009,4,0.91775119,0.980833333,0.685803566,1,0.297493372,0.5
377,53,IN,Wet Tropics,Fitzroy West,2,6,-16.92331667,145.9962667,31/07/2010,Johnstone,18.375,0.6875,45.1875,34.75,79.9375,0.8125,0.0625,32.3125,1,n,,NA,8.951053495,56.5,4.421768707,2010,2007 - 2010,4,0.91775119,1,0.710789535,0.878642601,0.33711328,1
378,68,IN,Wet Tropics,Fitzroy West,2,7,-16.92331667,145.9962667,28/05/2011,Johnstone,44.52319182,0.562893082,27.20636792,25.89426101,53.10062893,0.1875,0,16.01100629,1,d,,NA,3.412881911,51.5,0.421128837,2011,2008 - 2011,4,0.66775119,0.708008386,0.29677234,1,0.229106576,0.5
379,81,IN,Wet Tropics,Fitzroy West,2,8,-16.92331667,145.9962667,9/08/2012,Johnstone,39.27476415,0.375,30.27672956,29.76100629,60.03773585,0.625786164,0.0625,20.7047956,1,n,,NA,5.224453989,69.5,1.593354351,2012,2009 - 2012,4,0.534018895,0.800503145,0.444603856,1,0.247492654,0.5
380,85,IN,Wet Tropics,Fitzroy West,2,9,-16.92331667,145.9962667,9/08/2013,Johnstone,41.4115566,0.563286164,22.07350629,34.95165094,57.02515723,1.376572327,0.0625,11.12578616,1,c,,NA,4.505408087,63.5,3.324126017,2013,2010 - 2013,4,0.48835694,0.76033543,0.391774616,0.998302676,0.223812021,0.5
381,99,IN,Wet Tropics,Fitzroy West,2,10,-16.92331667,145.9962667,13/06/2014,Johnstone,38.9375,0.75,22.25,35.9375,58.1875,0.5,0.0625,10.25,1,c,,NA,5.455811625,72.5,1.284109149,2014,2011 - 2014,4,0.23253541,0.775833333,0.461129402,1,0.148351558,0.5
382,100,IN,Wet Tropics,Fitzroy West,2,11,-16.92331667,145.9962667,5/08/2015,Johnstone,33.75,1.0625,25.375,39.1875,64.5625,1.0625,0,15.1875,1,n,,NA,6.002295324,68.5,3.148148148,2015,2012 - 2015,4,0.73253541,0.860833333,0.500163952,1,0.201817622,0.5
383,113,IN,Wet Tropics,Fitzroy West,2,12,-16.92331667,145.9962667,19/07/2016,Johnstone,25.5,0.3125,27.5625,45.8125,73.375,0.8125,0,17.875,1,n,,NA,5.865367157,53,3.18627451,2016,2013 - 2016,4,0.939488417,0.978333333,0.490383368,1,0.307794247,0.5
384,128,IN,Wet Tropics,Fitzroy West,2,13,-16.92331667,145.9962667,26/06/2017,Johnstone,52,1.375,22.75,22.6875,45.4375,1,0.0625,10.0625,1,b,,1/02/2020,2.597817098,45.5,1.923076923,2017,2014 - 2017,4,0.939488417,0.605833333,0.225897139,1,0.224393977,0.5
385,138,IN,Wet Tropics,Fitzroy West,2,14,-16.92331667,145.9962667,3/06/2018,Johnstone,43.625,1.75,25.4375,28.1875,53.625,1.25,0.1875,12.9375,1,n,,NA,4.971231568,72,2.865329513,2018,2015 - 2018,4,0.827829688,0.715,0.426516541,1,0.245712655,0.5
386,141,IN,Wet Tropics,Fitzroy West,2,15,-16.92331667,145.9962667,22/07/2019,Johnstone,33.8125,1.0625,33.8125,30.5625,64.375,1.3125,0,22.25,1,n,,NA,6.086540729,70.5,3.881700555,2019,2016 - 2019,4,0.827829688,0.858333333,0.506181481,0.937518405,0.365660993,1
387,161,IN,Wet Tropics,Fitzroy West,2,16,-16.92331667,145.9962667,19/07/2020,Johnstone,27.375,0.3125,37.375,34.8125,72.1875,1.625,0,24.5625,1,n,,NA,5.003663771,47.5,5.936073059,2020,2017 - 2020,4,0.868170743,0.9625,0.428833126,0.713559945,0.327105064,1
388,168,IN,Wet Tropics,Fitzroy West,2,17,-16.92331667,145.9962667,25/06/2021,Johnstone,22.625,0.4375,40.5625,35.9375,76.5,0.9375,0,29.25,1,n,,NA,6.083754118,47,4.143646409,2021,2018 - 2021,4,0.901128057,1,0.505982437,0.908962245,0.387348681,1
389,176,IN,Wet Tropics,Fitzroy West,2,18,-16.92331667,145.9962667,16/05/2022,Johnstone,20,0.0625,43.1875,36.5,79.6875,2.0625,0,29.125,1,n,,NA,6.366567455,45.5,10.3125,2022,2019 - 2022,4,1,1,0.52618339,0.236461545,0.425216614,1
390,190,IN,Wet Tropics,Fitzroy West,2,19,-16.92331667,145.9962667,6/07/2023,Johnstone,16.98489514,0.125,46.42075772,35.71659556,82.13735328,2.888454913,0,35.76934613,1,n,,NA,10.91933817,53,17.00602146,2023,2020 - 2023,4,1,1,0.851381298,0,0.452724563,1
391,205,IN,Wet Tropics,Fitzroy West,2,20,-16.92331667,145.9962667,16/06/2024,Johnstone,50.89858491,0.125,22.36124214,26.30227987,48.66352201,10.88561321,0,13.40212264,1,b,,NA,2.486254951,43.5,21.38686808,2024,2021 - 2024,4,1,0.64884696,0.216196083,0,0.302013418,0.5
392,215,IN,Wet Tropics,Fitzroy West,5,1,-16.92315,145.99625,30/08/2005,Johnstone,46,5.4375,9.5625,38.625,48.1875,0,0,1.3125,NA,NA,NA,NA,13.53113231,105.5,0,2005,2002 - 2005,1,NA,0.6425,1,1,0.12346336,0.5
393,225,IN,Wet Tropics,Fitzroy West,5,2,-16.92315,145.99625,28/05/2006,Johnstone,48.75157233,3.190251572,15.20283019,32.72955975,47.93238994,0.312893082,0.250393082,2.063286164,1,n,,NA,9.892363856,80,0.641811262,2006,2003 - 2006,2,1,0.639098532,0.77802599,1,0.078911861,0.5
394,246,IN,Wet Tropics,Fitzroy West,5,3,-16.92315,145.99625,17/08/2007,Johnstone,44.80374204,5.627388535,18.5477707,30.26512739,48.81289809,0.1875,0,5.092356688,1,n,,NA,4.845606155,78,0.41849183,2007,2004 - 2007,3,1,0.650838641,0.417543297,1,0.212500569,0.5
395,255,IN,Wet Tropics,Fitzroy West,5,4,-16.92315,145.99625,5/07/2008,Johnstone,33.875,7,26.375,32.1875,58.5625,0.3125,0.1875,6.6875,1,n,,NA,8.781764008,103,0.922509225,2008,2005 - 2008,4,1,0.780833333,0.698697429,1,0.14409708,0.5
396,271,IN,Wet Tropics,Fitzroy West,5,5,-16.92315,145.99625,23/08/2009,Johnstone,33.6875,5.8125,26.625,33.5625,60.1875,0.25,0.375,8.4375,1,n,,NA,7.507818234,86.5,0.742115028,2009,2006 - 2009,4,0.77914294,0.8025,0.607701302,1,0.314202467,1
397,279,IN,Wet Tropics,Fitzroy West,5,6,-16.92315,145.99625,31/07/2010,Johnstone,26.5,6.3125,31.125,35.5625,66.6875,1.375,0.25,11.375,1,n,,NA,8.264449679,77.5,5.188679245,2010,2007 - 2010,4,0.77914294,0.889166667,0.661746406,0.686906867,0.271663505,0.5
398,296,IN,Wet Tropics,Fitzroy West,5,7,-16.92315,145.99625,28/05/2011,Johnstone,38.10613208,6.204009434,26.77987421,28.34551887,55.12539308,0.250393082,0,7.634827044,1,d,,NA,5.202820605,67,0.657093932,2011,2008 - 2011,4,0.52914294,0.735005241,0.443058615,1,0.143761189,0.5
399,306,IN,Wet Tropics,Fitzroy West,5,8,-16.92315,145.99625,9/08/2012,Johnstone,40.27869497,8.187893082,24.6509434,26.44457547,51.09551887,1.002751572,0.250393082,9.193003145,1,c,,NA,5.434934794,74.5,2.48953342,2012,2009 - 2012,4,0.372190587,0.681273585,0.4596382,0.915528314,0.275484686,0.5
400,316,IN,Wet Tropics,Fitzroy West,5,9,-16.92315,145.99625,9/08/2013,Johnstone,46.1875,7.9375,16.75,28.75,45.5,0.875,0.8125,2.125,1,c,,NA,5.169516419,82.5,1.894451962,2013,2010 - 2013,4,0.5,0.606666667,0.440679744,0.965932551,0.068372967,0.5
401,332,IN,Wet Tropics,Fitzroy West,5,10,-16.92315,145.99625,13/06/2014,Johnstone,38.72051887,8.449292453,19.19496855,33.13522013,52.33018868,0.437893082,0.188286164,2.5625,1,c,,NA,5.39983209,71.5,1.130907061,2014,2011 - 2014,4,0,0.697735849,0.457130864,1,0.109703585,0.5
402,340,IN,Wet Tropics,Fitzroy West,5,11,-16.92315,145.99625,5/08/2015,Johnstone,41.9375,7.125,18.9375,31.9375,50.875,0.625,0.75,3.0625,1,n,,NA,8.40358061,113.5,1.490312966,2015,2012 - 2015,4,0,0.678333333,0.671684329,1,0.195987268,0.5
403,355,IN,Wet Tropics,Fitzroy West,5,12,-16.92315,145.99625,19/07/2016,Johnstone,33.625,5.5,21.5625,39,60.5625,0.6875,0,5.5625,1,n,,NA,6.021619868,66,2.044609665,2016,2013 - 2016,4,0.5,0.8075,0.501544276,0.953213982,0.086991407,0.5
404,371,IN,Wet Tropics,Fitzroy West,5,13,-16.92315,145.99625,26/06/2017,Johnstone,51.6875,10,17.125,20.875,38,1,0.6875,2.0625,1,b,,1/02/2020,5.096950501,89,1.934703748,2017,2014 - 2017,4,0.5,0.506666667,0.435496464,0.962523168,-0.022754497,0
405,386,IN,Wet Tropics,Fitzroy West,5,14,-16.92315,145.99625,3/06/2018,Johnstone,40.33962264,13.625,22.27633648,23.19654088,45.47287736,1.127358491,1.4375,2.690251572,1,n,,NA,4.678877091,66.5,2.794667914,2018,2015 - 2018,4,0.666666667,0.606305031,0.405634078,0.889682994,0.061001243,0.5
406,392,IN,Wet Tropics,Fitzroy West,5,15,-16.92315,145.99625,22/07/2019,Johnstone,38.9375,9.8125,26,25.1875,51.1875,0.6875,0.9375,5.8125,1,n,,NA,5.5140866,72,1.76565008,2019,2016 - 2019,4,1,0.6825,0.4652919,0.976842251,0.160508485,0.5
407,401,IN,Wet Tropics,Fitzroy West,5,16,-16.92315,145.99625,19/07/2020,Johnstone,33.02672956,12.5,29.09316038,25.00511006,54.09827044,1.378144654,0,6.880896226,1,n,,NA,6.312760627,67,4.172815996,2020,2017 - 2020,4,1,0.721310273,0.522340045,0.772951913,0.16056651,0.5
408,412,IN,Wet Tropics,Fitzroy West,5,17,-16.92315,145.99625,25/06/2021,Johnstone,28.25,8.6875,32.8125,29.8125,62.625,0.4375,0,9.75,1,n,,NA,8.063585966,75.5,1.548672566,2021,2018 - 2021,4,1,0.835,0.647398998,0.995220552,0.219270281,0.5
409,427,IN,Wet Tropics,Fitzroy West,5,18,-16.92315,145.99625,16/05/2022,Johnstone,27.1875,8.9375,36.6875,26.9375,63.625,1.1875,0,12.0625,1,n,,NA,7.043115843,62.5,4.367816092,2022,2019 - 2022,4,1,0.848333333,0.574508274,0.756435131,0.271769225,0.5
410,440,IN,Wet Tropics,Fitzroy West,5,19,-16.92315,145.99625,6/07/2023,Johnstone,20.39033019,10.19968553,39.23820755,29.92177673,69.15998428,1.125393082,0,14.77712264,1,n,,NA,9.377269137,64.5,5.519248935,2023,2020 - 2023,4,0.929256438,0.922133124,0.74123351,0.65890715,0.270884269,0.5
411,454,IN,Wet Tropics,Fitzroy West,5,20,-16.92315,145.99625,16/06/2024,Johnstone,33.16548742,6.510220126,36.35809748,23.15290881,59.51100629,3.942610063,0,14.20676101,1,s,Jasper,13/12/2020,5.008758832,53,11.88768919,2024,2021 - 2024,4,0.90567525,0.793480084,0.429197059,0.119491304,0.203860004,0.5
412,237,RM,Wet Tropics,Fitzroy West LTMP,5,2,-16.92315,145.9931333,9/02/1994,Johnstone,35.22800656,16.84219426,23.92067784,21.78849321,45.70917105,0.164444444,0,6.651984576,1,n,,NA,NA,NA,0.466800312,1994,NA,NA,NA,0.609455614,NA,1,NA,NA
413,249,RM,Wet Tropics,Fitzroy West LTMP,5,3,-16.92315,145.9931333,28/05/1995,Johnstone,27.67635354,12.75816018,30.35695973,25.75939161,56.11635134,0.085714286,0,11.15132474,1,n,,NA,NA,NA,0.309702236,1995,1992 - 1995,1,1,0.748218018,NA,1,NA,NA
414,262,RM,Wet Tropics,Fitzroy West LTMP,5,4,-16.92315,145.9931333,25/01/1996,Johnstone,30.25591039,10.29413668,35.77173473,20.42626341,56.19799815,0.854956384,0,12.75800945,1,n,,NA,NA,NA,2.825749987,1996,1993 - 1996,2,1,0.749306642,NA,0.887459675,NA,NA
415,273,RM,Wet Tropics,Fitzroy West LTMP,5,5,-16.92315,145.9931333,19/01/1997,Johnstone,25.60683076,15.47305222,36.0657906,19.30150685,55.36729745,0.688797213,0,14.83462019,1,n,,NA,NA,NA,2.689896375,1997,1994 - 1997,3,0.728186633,0.738230633,NA,0.898937983,NA,NA
416,286,RM,Wet Tropics,Fitzroy West LTMP,5,6,-16.92315,145.9931333,5/02/1998,Johnstone,40.41858714,9.587676928,34.06401846,12.87413388,46.93815234,9.665136696,0,10.75423546,1,n,,NA,NA,NA,23.91260403,1998,1995 - 1998,4,0.546139974,0.625842031,NA,0,NA,NA
417,298,RM,Wet Tropics,Fitzroy West LTMP,5,7,-16.92315,145.9931333,8/02/1999,Johnstone,35.25826671,14.4916579,31.6010665,16.24977875,47.85084525,6.122160575,0,12.07602683,1,b,,1/02/2019,NA,NA,17.36375933,1999,1996 - 1999,4,0.394853299,0.63801127,NA,0,NA,NA
418,310,RM,Wet Tropics,Fitzroy West LTMP,5,8,-16.92315,145.9931333,2/02/2000,Johnstone,65.2013155,11.60991091,6.972706227,15.45176902,22.42447525,10.97006312,0,1.233947799,1,c,,NA,NA,NA,16.82491072,2000,1997 - 2000,4,0.092279949,0.298993003,NA,0,NA,NA
419,323,RM,Wet Tropics,Fitzroy West LTMP,5,9,-16.92315,145.9931333,7/02/2001,Johnstone,60.03112281,15.56811805,6.249807581,17.59122073,23.84102831,2.68184042,0,0.363966547,1,c,,NA,NA,NA,4.467416725,2001,1998 - 2001,4,0,0.317880377,NA,0.748754804,NA,NA
420,336,RM,Wet Tropics,Fitzroy West LTMP,5,10,-16.92315,145.9931333,22/09/2001,Johnstone,62.84899816,13.29210246,8.503563797,14.94031479,23.44387858,11.16543278,0,0.473288117,1,n,,NA,NA,NA,17.76549047,2002,1999 - 2002,4,1,0.312585048,NA,0,NA,NA
421,346,RM,Wet Tropics,Fitzroy West LTMP,5,11,-16.92315,145.9931333,8/11/2002,Johnstone,63.68919969,12.24770785,7.106267806,16.35034965,23.45661746,0.800673401,0,0.402900803,1,n,,NA,NA,NA,1.257157265,2003,2000 - 2003,4,0.5,0.312754899,NA,1,NA,NA
422,358,RM,Wet Tropics,Fitzroy West LTMP,5,12,-16.92315,145.9931333,15/01/2004,Johnstone,53.61922724,10.59965329,9.736635155,23.28576166,33.02239682,0.3,0,0.678597701,1,n,,NA,NA,NA,0.55950079,2004,2001 - 2004,4,0.666666667,0.440298624,NA,1,NA,NA
423,372,RM,Wet Tropics,Fitzroy West LTMP,5,13,-16.92315,145.9931333,3/02/2005,Johnstone,50.99431106,7.884231948,15.34757854,25.10298623,40.45056478,0.337051264,0,1.724681026,1,n,,NA,NA,NA,0.660958561,2005,2002 - 2005,4,0.75,0.539340864,NA,1,NA,NA
424,1315,RM,Wet Tropics,Fitzroy West LTMP,5,NA,NA,NA,NA,Johnstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,2003 - 2006,4,0.666666667,0.539340864,NA,1,NA,NA
425,397,RM,Wet Tropics,Fitzroy West LTMP,5,15,-16.92315,145.9931333,19/01/2007,Johnstone,46.11726139,9.187641913,17.83307616,25.52583456,43.35891072,1.30184593,0,2.170532799,1,n,,NA,2.890607847,11.33333333,2.822903812,2007,2004 - 2007,4,0.851268224,0.57811881,0.251357204,0.887700149,-0.034327363,0.5
426,1316,RM,Wet Tropics,Fitzroy West LTMP,5,NA,NA,NA,NA,Johnstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,2005 - 2008,4,0.776902335,0.57811881,0.251357204,0.887700149,NA,0.5
427,425,RM,Wet Tropics,Fitzroy West LTMP,5,17,-16.92315,145.9931333,3/01/2009,Johnstone,33.23333333,14.83333333,24.83333333,26.36666667,51.2,0.633333333,0,4.566666667,1,n,,NA,8.303470301,23.33333333,1.905717151,2009,2006 - 2009,4,0.776902335,0.682666667,0.664533593,0.9651935,0.017522884,0.5
428,1317,RM,Wet Tropics,Fitzroy West LTMP,5,NA,NA,NA,NA,Johnstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,2007 - 2010,4,0.776902335,0.682666667,0.664533593,0.9651935,NA,0.5
429,451,RM,Wet Tropics,Fitzroy West LTMP,5,19,-16.92315,145.9931333,8/02/2011,Johnstone,35.94606365,11.47319933,29.13869347,22.34070352,51.47939698,0.333333333,0,9.401842546,1,n,,NA,6.071303781,18.66666667,0.927315259,2011,2008 - 2011,4,0.82322464,0.68639196,0.505093127,1,0.062917645,1
430,1318,RM,Wet Tropics,Fitzroy West LTMP,5,NA,NA,NA,NA,Johnstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2009 - 2012,4,0.82322464,0.68639196,0.505093127,1,NA,1
431,465,RM,Wet Tropics,Fitzroy West LTMP,5,21,-16.92315,145.9931333,17/01/2013,Johnstone,39.26666667,5.833333333,29.06666667,24.76666667,53.83333333,1.133333333,0,7.2,1,c,,NA,8.258729814,28.33333333,2.886247878,2013,2010 - 2013,4,0.64644928,0.717777778,0.661337844,0.882348191,-0.021231303,0.5
432,1319,RM,Wet Tropics,Fitzroy West LTMP,5,NA,NA,NA,NA,Johnstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2011 - 2014,4,0.64644928,0.717777778,0.661337844,0.882348191,NA,0.5
433,469,RM,Wet Tropics,Fitzroy West LTMP,5,23,-16.92315,145.9931333,10/03/2015,Johnstone,47.28542714,5.404020101,16.5360134,29.37118928,45.90720268,0.400670017,0,1.670184255,1,c,,NA,13.56008621,54.66666667,0.84734355,2015,2012 - 2015,4,NA,0.612096036,1,1,-0.036612434,0.5
434,1320,RM,Wet Tropics,Fitzroy West LTMP,5,NA,NA,NA,NA,Johnstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2013 - 2016,4,NA,0.612096036,1,1,NA,0.5
435,472,RM,Wet Tropics,Fitzroy West LTMP,5,25,-16.92315,145.9931333,19/12/2016,Johnstone,45.93333333,9.9,17.23333333,26.3,43.53333333,0.3,0,1.8,1,n,,NA,16.59879008,65,0.653120464,2017,2014 - 2017,4,0.351149843,0.580444444,1,1,-0.018870663,0.5
436,1321,RM,Wet Tropics,Fitzroy West LTMP,5,NA,NA,NA,NA,Johnstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2015 - 2018,4,0.351149843,0.580444444,1,1,NA,0.5
437,476,RM,Wet Tropics,Fitzroy West LTMP,5,27,-16.92315,145.9931333,28/02/2019,Johnstone,47.42993757,12.18336294,20.72962455,18.85321219,39.58283674,0.200504205,0,2.410422483,1,n,,NA,9.755565783,39.33333333,0.422737652,2019,2016 - 2019,4,0.497178808,0.527771157,0.768254699,1,0.014466091,0.5
438,1322,RM,Wet Tropics,Fitzroy West LTMP,5,NA,NA,NA,NA,Johnstone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,2017 - 2020,4,0.497178808,0.527771157,0.768254699,1,NA,0.5
439,477,RM,Wet Tropics,Fitzroy West LTMP,5,29,-16.92315,145.9931333,17/01/2021,Johnstone,34.77437707,6.382987588,37.93248475,20.07192893,58.00441368,0.46802388,0,7.592750986,1,n,,NA,8.506444293,25.33333333,1.345887172,2021,2018 - 2021,4,0.821603886,0.773392182,0.679031735,1,0.115816896,1
440,480,RM,Wet Tropics,Fitzroy West LTMP,5,30,-16.92315,145.9931333,19/09/2021,Johnstone,36.85695142,12.34237856,33.48073702,16.51909548,49.9998325,0.467504188,0,3.235343384,1,c,,NA,9.726988565,30.66666667,1.268428803,2022,2019 - 2022,4,0.821603886,0.666664433,0.766213469,1,-0.0637172,0
441,483,RM,Wet Tropics,Fitzroy West LTMP,5,31,-16.92315,145.9931333,5/03/2023,Johnstone,34.3840871,18.02864322,34.30217755,12.61792295,46.9201005,0.435008375,0,6.876884422,1,n,,NA,6.077308673,18,1.265144466,2023,2020 - 2023,4,0.5,0.62560134,0.505522048,1,0.127911922,1
442,484,RM,Wet Tropics,Fitzroy West LTMP,5,32,-16.92315,145.9931333,25/08/2023,Johnstone,31.53434343,8.904377104,38.68855219,20.03838384,58.72693603,0.567340067,0,8.013468013,1,n,,NA,12.75321549,33.66666667,1.799118058,2024,2021 - 2024,4,0.666666667,0.783025814,0.982372535,0.974200087,0.10301227,1
443,11,IN,Wet Tropics,Franklands East,2,1,-17.20378333,146.07675,5/08/2005,Johnstone,51.0625,8.1875,33.1875,7.1875,40.375,0.125,0,28.125,NA,NA,NA,NA,7.166104147,61,0.244798042,2005,2002 - 2005,1,NA,0.538333333,0.583293153,1,0.132675623,0.5
444,21,IN,Wet Tropics,Franklands East,2,2,-17.20378333,146.07675,27/05/2006,Johnstone,78.4375,5.625,13.875,1.625,15.5,0.125,0,11.5,1,s,Larry,19/03/2020,1.120548939,14.5,0.15936255,2006,2003 - 2006,2,NA,0.206666667,0.097439038,1,0.177647558,0.5
445,28,IN,Wet Tropics,Franklands East,2,3,-17.20378333,146.07675,8/07/2007,Johnstone,82.4375,3.125,12.5,0.625,13.125,11.625,0,10.125,1,d,,NA,1.654920849,44.5,14.10159212,2007,2004 - 2007,3,0,0.175,0.143906161,0,-0.017892567,0.5
