"","weight","genus","DEPTH"
"117",-0.00572585889987829,"PSEUDOSIDERASTREA",5
"118",0.00481882802757675,"SANDALOLITHA",5
"119",0.000362910288437588,"SCOLYMIA",5
"120",0.0271391854315741,"SERIATOPORA",5
"121",-0.00585019564601517,"STYLOCOENIELLA",5
"122",0.0332744119702348,"STYLOPHORA",5
"123",0.0176804532132507,"SYMPHYLLIA",5
"124",-0.000241733407519796,"TUBASTRAEA",5
"125",-0.306968423528661,"TURBINARIA",5
"126",0.809918106107824,"ACB",5
"127",0.0385243375691136,"ACD",5
"128",0.0149498087417188,"ACE",5
"129",0.240470356207813,"ACO",5
"130",-0.00399241972403944,"ACS",5
"131",0.224305303094224,"ACT",5
"132",0.069964750955391,"ACX",5
"133",0.122482512253533,"pm",5
"134",0.0750949824198016,"pb",5
"135",0.0866597049624061,"prus",5
"136",-0.00486606895113969,"psm_e",5
