REEF,data,variableName,Month,Year
Barnards,0.0889757,Kd_490_MIM_median,4,2003
Barnards,0.6608073,Nap_MIM_median,5,2003
Barnards,0.055989582,CDOM_MIM_median,5,2003
Barnards,0.45985243,Chl_MIM_median,5,2003
Barnards,0.09700521,Kd_490_MIM_median,5,2003
Barnards,0.6608073,Nap_MIM_median,5,2003
Barnards,0.055989582,CDOM_MIM_median,5,2003
Barnards,0.45985243,Chl_MIM_median,5,2003
Barnards,0.09700521,Kd_490_MIM_median,5,2003
Barnards,0.6608073,Nap_MIM_median,5,2003
Barnards,0.055989582,CDOM_MIM_median,5,2003
Barnards,0.45985243,Chl_MIM_median,5,2003
Barnards,0.09700521,Kd_490_MIM_median,5,2003
Barnards,0.7676866,Nap_MIM_median,6,2003
Barnards,0.051649306,CDOM_MIM_median,6,2003
Barnards,0.4496528,Chl_MIM_median,6,2003
Barnards,0.10329861,Kd_490_MIM_median,6,2003
Barnards,0.7676866,Nap_MIM_median,6,2003
Barnards,0.051649306,CDOM_MIM_median,6,2003
Barnards,0.4496528,Chl_MIM_median,6,2003
Barnards,0.10329861,Kd_490_MIM_median,6,2003
Barnards,0.7676866,Nap_MIM_median,6,2003
Barnards,0.051649306,CDOM_MIM_median,6,2003
Barnards,0.4496528,Chl_MIM_median,6,2003
Barnards,0.10329861,Kd_490_MIM_median,6,2003
Barnards,1.0486112,Nap_MIM_median,7,2003
Barnards,0.048828125,CDOM_MIM_median,7,2003
Barnards,0.4779731,Chl_MIM_median,7,2003
Barnards,0.108940974,Kd_490_MIM_median,7,2003
Barnards,1.0486112,Nap_MIM_median,7,2003
Barnards,0.048828125,CDOM_MIM_median,7,2003
Barnards,0.4779731,Chl_MIM_median,7,2003
Barnards,0.108940974,Kd_490_MIM_median,7,2003
Barnards,1.0486112,Nap_MIM_median,7,2003
Barnards,0.048828125,CDOM_MIM_median,7,2003
Barnards,0.4779731,Chl_MIM_median,7,2003
Barnards,0.108940974,Kd_490_MIM_median,7,2003
Barnards,0.7870009,Nap_MIM_median,8,2003
Barnards,0.039171007,CDOM_MIM_median,8,2003
Barnards,0.3280165,Chl_MIM_median,8,2003
Barnards,0.09461805,Kd_490_MIM_median,8,2003
Barnards,0.7870009,Nap_MIM_median,8,2003
Barnards,0.039171007,CDOM_MIM_median,8,2003
Barnards,0.3280165,Chl_MIM_median,8,2003
Barnards,0.09461805,Kd_490_MIM_median,8,2003
Barnards,0.7870009,Nap_MIM_median,8,2003
Barnards,0.039171007,CDOM_MIM_median,8,2003
Barnards,0.3280165,Chl_MIM_median,8,2003
Barnards,0.09461805,Kd_490_MIM_median,8,2003
Barnards,0.82302517,Nap_MIM_median,9,2003
Barnards,0.043945312,CDOM_MIM_median,9,2003
Barnards,0.30533853,Chl_MIM_median,9,2003
Barnards,0.10167101,Kd_490_MIM_median,9,2003
Barnards,0.82302517,Nap_MIM_median,9,2003
Barnards,0.043945312,CDOM_MIM_median,9,2003
Barnards,0.30533853,Chl_MIM_median,9,2003
Barnards,0.10167101,Kd_490_MIM_median,9,2003
Barnards,0.82302517,Nap_MIM_median,9,2003
Barnards,0.043945312,CDOM_MIM_median,9,2003
Barnards,0.30533853,Chl_MIM_median,9,2003
Barnards,0.10167101,Kd_490_MIM_median,9,2003
Barnards,0.6690538,Nap_MIM_median,10,2003
Barnards,0.04155816,CDOM_MIM_median,10,2003
Barnards,0.41134983,Chl_MIM_median,10,2003
Barnards,0.095052086,Kd_490_MIM_median,10,2003
Barnards,0.6690538,Nap_MIM_median,10,2003
Barnards,0.04155816,CDOM_MIM_median,10,2003
Barnards,0.41134983,Chl_MIM_median,10,2003
Barnards,0.095052086,Kd_490_MIM_median,10,2003
Barnards,0.6690538,Nap_MIM_median,10,2003
Barnards,0.04155816,CDOM_MIM_median,10,2003
Barnards,0.41134983,Chl_MIM_median,10,2003
Barnards,0.095052086,Kd_490_MIM_median,10,2003
Barnards,0.7253689,Nap_MIM_median,11,2003
Barnards,0.039496526,CDOM_MIM_median,11,2003
Barnards,0.45464408,Chl_MIM_median,11,2003
Barnards,0.097222224,Kd_490_MIM_median,11,2003
Barnards,0.7253689,Nap_MIM_median,11,2003
Barnards,0.039496526,CDOM_MIM_median,11,2003
Barnards,0.45464408,Chl_MIM_median,11,2003
Barnards,0.097222224,Kd_490_MIM_median,11,2003
Barnards,0.7253689,Nap_MIM_median,11,2003
Barnards,0.039496526,CDOM_MIM_median,11,2003
Barnards,0.45464408,Chl_MIM_median,11,2003
Barnards,0.097222224,Kd_490_MIM_median,11,2003
Barnards,0.6278212,Nap_MIM_median,12,2003
Barnards,0.030273438,CDOM_MIM_median,12,2003
Barnards,0.45974392,Chl_MIM_median,12,2003
Barnards,0.092447914,Kd_490_MIM_median,12,2003
Barnards,0.6278212,Nap_MIM_median,12,2003
Barnards,0.030273438,CDOM_MIM_median,12,2003
Barnards,0.45974392,Chl_MIM_median,12,2003
Barnards,0.092447914,Kd_490_MIM_median,12,2003
Barnards,0.6278212,Nap_MIM_median,12,2003
Barnards,0.030273438,CDOM_MIM_median,12,2003
Barnards,0.45974392,Chl_MIM_median,12,2003
Barnards,0.092447914,Kd_490_MIM_median,12,2003
Barnards,0.6919488,Nap_MIM_median,1,2004
Barnards,0.04481337,CDOM_MIM_median,1,2004
Barnards,0.5338542,Chl_MIM_median,1,2004
Barnards,0.0999349,Kd_490_MIM_median,1,2004
Barnards,0.6919488,Nap_MIM_median,1,2004
Barnards,0.04481337,CDOM_MIM_median,1,2004
Barnards,0.5338542,Chl_MIM_median,1,2004
Barnards,0.0999349,Kd_490_MIM_median,1,2004
Barnards,0.6919488,Nap_MIM_median,1,2004
Barnards,0.04481337,CDOM_MIM_median,1,2004
Barnards,0.5338542,Chl_MIM_median,1,2004
Barnards,0.0999349,Kd_490_MIM_median,1,2004
Barnards,0.3562283,Nap_MIM_median,2,2004
Barnards,0.06174045,CDOM_MIM_median,2,2004
Barnards,0.79144967,Chl_MIM_median,2,2004
Barnards,0.092556424,Kd_490_MIM_median,2,2004
Barnards,0.3562283,Nap_MIM_median,2,2004
Barnards,0.06174045,CDOM_MIM_median,2,2004
Barnards,0.79144967,Chl_MIM_median,2,2004
Barnards,0.092556424,Kd_490_MIM_median,2,2004
Barnards,0.3562283,Nap_MIM_median,2,2004
Barnards,0.06174045,CDOM_MIM_median,2,2004
Barnards,0.79144967,Chl_MIM_median,2,2004
Barnards,0.092556424,Kd_490_MIM_median,2,2004
Barnards,0.73372394,Nap_MIM_median,3,2004
Barnards,0.04112413,CDOM_MIM_median,3,2004
Barnards,0.5434028,Chl_MIM_median,3,2004
