"","rAc","res"
"1",0.752699837289043,-0.00105574018318282
"2",0.503342963289748,0.0435767073342974
"3",0.759355296509889,0.00149298218512511
"4",0.539572451945525,0.0292857606810696
"5",0.320654646341266,0.0621830185922
"6",0.660111978240542,0.0190953042278605
"7",0.484475736341351,0.0510316672187699
"8",0.915745003322481,-0.0258165427897564
"9",0.505905709126549,0.0431487767253069
"10",0.554718955073184,0.023298243067966
"11",0.681061385490538,0.00433651915652397
"12",0.677867256899547,0.0142933851182255
"13",0.699134281374959,0.0202496449755336
"14",0.403297843844843,0.0458738251901228
"15",0.765367426829273,-0.00439817795381966
"16",0.726920390982666,0.00377764889240153
"17",0.495200247744927,0.0343791924391918
"18",0.683676567158512,0.00923048604486087
"19",0.410022226503894,0.0519992606803722
"20",0.509227158631356,0.0403853011464919
"21",0.499205126691473,0.0471770161918988
"22",0.558345599687834,0.0236101204636716
"23",0.776079271444198,0.000766127695301983
"24",0.960210413312514,-0.0302576584368607
"25",0.998599454356818,-0.0320946085269984
"26",0.676315345066061,0.018247606422831
"27",0.977645195543942,-0.033637825884577
"28",0.387888558624765,0.0652300226784362
"29",0.981709855596986,-0.0318066552640998
"30",0.631302888195839,0.0221682860191424
"31",0.251973681240206,0.0689538499720651
"32",0.584186922822107,0.0332518510621574
"33",0.509672426406053,0.0356956207036352
"34",0.752385419197413,0.00465993465817363
"35",0.265826560646897,0.0728195349339803
"36",0.507392248344245,0.0406075126671874
"37",0.666329053630972,0.0147836447273092
"38",0.989734833328257,-0.0245065333251093
"39",0.597189458212265,0.0287787700469046
"40",0.691302875280032,0.00791089946266182
"41",0.495134097687718,0.031934750228326
"42",0.432828500439034,0.0484733712378929
"43",0.625595960552378,0.0230800111274711
"44",0.465815557166122,0.0412205710683535
"45",0.583406491162699,0.0151033841314315
"46",0.721096223335696,0.00979645387271664
"47",0.501890315036291,0.027623896154023
"48",0.586824350534209,0.0388582422908607
"49",0.595237574326906,0.0370816146507507
"50",0.819014480930846,-0.00914501262705312
"51",0.540200384995343,0.0336773069970955
"52",0.666353974664104,0.0276629909321801
"53",0.542092307428981,0.03224777703378
"54",0.62926114735245,0.0287617273715545
"55",0.601442562778686,0.0268642049401479
"56",0.697998016520476,0.0176453396249497
