"","rAc","res"
"1",0.362572328260451,-0.0147664206533772
"2",0.34921327780035,-0.0118618358726808
"3",0.339051965177953,0.000118407260482007
"4",0.349366560769123,-0.00286746465390085
"5",0.343468554475698,-0.0030490821539557
"6",0.312513095228043,0.00306048874113467
"7",0.359196530893744,-0.0111687885412974
"8",0.359364787800915,-0.00655122424191477
"9",0.353041170623474,-0.000856470176149376
"10",0.325962064618736,0.000956868853214844
"11",0.434110106998202,-0.0178921965584631
"12",0.268227152561656,0.0101250463592812
"13",0.343018340637155,-0.00371573277564921
"14",0.37632128881964,-0.00581194920987065
"15",0.358550146342831,-0.00479806597140999
"16",0.299174502783141,0.00425151065051717
"17",0.351173942433606,-0.00680523952563493
"18",0.385208467734698,-0.010656142706978
"19",0.251367426862467,0.0167386383723351
"20",0.411456682807392,-0.0155281172950546
"21",0.408480362387299,-0.0178952173034696
"22",0.420568748784168,-0.0202302255699304
"23",0.270638586777075,0.0104663860812081
"24",0.329248779346905,-0.000895738188510742
"25",0.401818749904803,-0.00850330878451194
"26",0.340756131277433,-0.00635201865905898
"27",0.345738229763939,9.42700477674291e-05
"28",0.339148588877436,-0.00447782668966243
"29",0.401822200732347,-0.0102690559009178
"30",0.347532014879792,-0.00545421152501828
"31",0.388946942962636,-0.00474087042077798
"32",0.4232171161968,-0.0176143009568769
"33",0.256323351449545,0.0103270362914721
"34",0.33724131869868,-0.0025512702589248
"35",0.40319243549744,-0.00151469887374048
"36",0.572289718392448,-0.0318375027426083
"37",0.393925392125037,-0.0103374258704857
"38",0.325071614198316,0.006512452899118
"39",0.319524649429879,0.000850041873051087
"40",0.431644819030152,-0.0147239429154779
"41",0.324485838771765,0.00467347908933976
"42",0.233588504299105,0.01290847834446
"43",0.297098644464846,-0.00024349895215832
"44",0.382657584465451,-0.00782886507214561
"45",0.185054435466227,0.0259642679440814
"46",0.393796117946435,-0.00614370075878613
"47",0.405859837542809,-0.0150240957348818
"48",0.343069318291437,-0.00428210846531637
"49",0.438356501191019,-0.0124084295450231
"50",0.29765229844584,0.00029384953461432
"51",0.192383809538985,0.0168001915428621
"52",0.415241349697107,-0.017418734477452
"53",0.280380424518651,0.00540745534696987
"54",0.313790945170911,0.00426228655331677
"55",0.36314121416856,-0.00716457815574709
"56",0.220954878129104,0.0197545943540424
"57",0.512785049349634,-0.0289336191355309
"58",0.23513439662279,0.0182016626764181
"59",0.250439708113326,0.0123793053172996
"60",0.326862611515596,0.00183978559568661
"61",0.219097259906155,0.0177974332955536
"62",0.362147144737364,-0.00782092307661658
"63",0.42273584487751,-0.016345360024832
"64",0.374192489345729,-0.00443999454795994
"65",0.372927481257233,-0.00713130297692958
"66",0.254486958260625,0.0129003719266107
"67",0.36730930511469,-0.00491151014802994
"68",0.53133779069676,-0.0253880216351874
"69",0.466273003906298,-0.0231705287863527
"70",0.331155273231749,-0.00134105975758644
"71",0.360732879176521,-0.00304992477549277
"72",0.522505961607371,-0.0280894433008311
"73",0.360553975034445,-0.00306434550444955
"74",0.400142051286773,-0.0129102479439703
"75",0.38987236390603,-0.0116851293009698
"76",0.294010323002959,0.0060232928407442
"77",0.436545937518029,-0.0109642128478037
"78",0.441218001763006,-0.0154962675090975
"79",0.167421164001118,0.0231996072831056
"80",0.30370418342854,0.0049669391915007
"81",0.265669823155189,0.0180756101167752
"82",0.407840987022152,-0.0147735439171575
"83",0.430747268116402,-0.0220698242554764
"84",0.24276046114944,0.0116571148573501
"85",0.579784762730081,-0.0403210213702115
"86",0.360647160801188,-0.00723495320377444
"87",0.337202308176726,0.00479377689356712
"88",0.477098277600748,-0.0230354583856448
"89",0.210463832604883,0.0200739421563459
"90",0.422472603085733,-0.0144466224478931
"91",0.186674108890929,0.0265470182779218
"92",0.205978483014614,0.0232906559068671
"93",0.219823674058444,0.0154129280010054
"94",0.327947360576136,-0.00219364706090754
"95",0.370287633816626,-0.00860739842608335
"96",0.342174897047377,-0.00261749197486042
"97",0.535860083612584,-0.0260890805154532
"98",0.356318579190317,-0.00597382290570142
"99",0.438741769689286,-0.0178732785902493
"100",0.357090813475003,-0.00584786489528667
"101",0.31255113357105,0.00331372418636764
"102",0.516754031738916,-0.0313829628959341
"103",0.244591378149914,0.00935416049276957
"104",0.257174465020423,0.0119198908393038
"105",0.254976622532197,0.0163954621353151
