"","REEF","VISIT_NO","DEPTH","Acroporidae","Dendrophylliidae","propAC"
"568","Pelican",7,5,0.5,11,0.0434782608695652
"569","Pelican",8,2,0,0,NA
"570","Pelican",8,5,0,11.5,0
"571","Pelican",9,2,1,1,0.5
"572","Pelican",9,5,3,29,0.09375
"573","Pelican",10,2,9,0,1
"574","Pelican",10,5,0,13.5,0
"575","Pelican",11,2,10.5,0,1
"576","Pelican",11,5,2.5,11.5,0.178571428571429
"577","Pelican",12,2,11,0,1
"578","Pelican",12,5,0,7.5,0
"579","Pelican",14,2,5,2.5,0.666666666666667
"580","Pelican",14,5,1,28.5,0.0338983050847458
"581","Pine",1,2,28.5,0.5,0.982758620689655
"582","Pine",1,5,22.5,0,1
"583","Pine",2,2,28,0.5,0.982456140350877
"584","Pine",2,5,15.5,2,0.885714285714286
"585","Pine",3,2,45,1,0.978260869565217
"586","Pine",3,5,17,6.5,0.723404255319149
"587","Pine",4,2,22.5,1,0.957446808510638
"588","Pine",4,5,7.5,5.5,0.576923076923077
"589","Pine",5,2,21.5,0,1
"590","Pine",5,5,15.5,4.5,0.775
"591","Pine",6,2,23.5,0.5,0.979166666666667
"592","Pine",6,5,7.5,6,0.555555555555556
"593","Pine",7,2,25,0,1
"594","Pine",7,5,11.5,10,0.534883720930233
"595","Pine",8,2,24,1,0.96
"596","Pine",8,5,8,6.5,0.551724137931034
"597","Pine",9,2,27,1.5,0.947368421052632
"598","Pine",9,5,6.5,4,0.619047619047619
"599","Pine",10,2,58,0,1
"600","Pine",10,5,26.5,2.5,0.913793103448276
"601","Pine",11,2,29,0,1
"602","Pine",11,5,29,1.5,0.950819672131147
"603","Pine",13,2,18.5,2.5,0.880952380952381
"604","Pine",13,5,14,4,0.777777777777778
"605","Pine",14,2,8.5,1,0.894736842105263
"606","Pine",14,5,11,2,0.846153846153846
"607","Seaforth",1,2,12,4,0.75
"608","Seaforth",1,5,8,4.5,0.64
"609","Seaforth",2,2,8.5,2,0.80952380952381
"610","Seaforth",2,5,5.5,2,0.733333333333333
"611","Seaforth",3,2,25.5,4,0.864406779661017
"612","Seaforth",3,5,19,3.5,0.844444444444444
"613","Seaforth",5,2,29,6,0.828571428571429
"614","Seaforth",5,5,14,3.5,0.8
"615","Seaforth",7,2,24.5,5.5,0.816666666666667
"616","Seaforth",7,5,11,4.5,0.709677419354839
"617","Seaforth",9,2,13.5,5,0.72972972972973
"618","Seaforth",9,5,8.5,8,0.515151515151515
"619","Seaforth",11,2,20.5,6,0.773584905660377
"620","Seaforth",11,5,16,5.5,0.744186046511628
"621","Seaforth",13,2,7.5,5.5,0.576923076923077
"622","Seaforth",13,5,4.5,3,0.6
"623","Shute Harbour",1,2,46,1.5,0.968421052631579
"624","Shute Harbour",1,5,26,3.5,0.88135593220339
"625","Shute Harbour",2,2,40.5,2,0.952941176470588
"626","Shute Harbour",2,5,17.5,3.5,0.833333333333333
"627","Shute Harbour",4,2,26,2,0.928571428571429
"628","Shute Harbour",4,5,30,5,0.857142857142857
"629","Shute Harbour",6,2,23,1,0.958333333333333
"630","Shute Harbour",6,5,11.5,3,0.793103448275862
"631","Shute Harbour",8,2,20.5,1,0.953488372093023
"632","Shute Harbour",8,5,17,6,0.739130434782609
"633","Shute Harbour",10,2,25,5.5,0.819672131147541
"634","Shute Harbour",10,5,16,5,0.761904761904762
"635","Shute Harbour",12,2,20.5,1.5,0.931818181818182
"636","Shute Harbour",12,5,12.5,5,0.714285714285714
"637","Shute Harbour",13,2,7.5,0.5,0.9375
"638","Shute Harbour",13,5,3,5,0.375
"639","Shute Harbour",14,2,12,3.5,0.774193548387097
"640","Shute Harbour",14,5,11,6,0.647058823529412
"641","Snapper North",1,2,21.3333333333333,0,1
"642","Snapper North",1,5,5.5,6.5,0.458333333333333
"643","Snapper North",2,2,3.66666666666667,0,1
"644","Snapper North",2,5,0,2,0
"645","Snapper North",3,2,39,0,1
"646","Snapper North",3,5,9.5,3.5,0.730769230769231
"647","Snapper North",4,2,23,0,1
"648","Snapper North",4,5,11.5,2.5,0.821428571428571
"649","Snapper North",5,2,13,0,1
"650","Snapper North",5,5,3.5,1,0.777777777777778
"651","Snapper North",6,2,9.33333333333333,0,1
"652","Snapper North",6,5,7.5,2,0.789473684210526
"653","Snapper North",7,2,12.3333333333333,0,1
"654","Snapper North",7,5,0.5,0,1
"655","Snapper North",8,2,11,0,1
"656","Snapper North",8,5,6.5,1,0.866666666666667
"657","Snapper North",9,2,13,0,1
"658","Snapper North",9,5,13,1,0.928571428571429
"659","Snapper North",10,2,1.66666666666667,0,1
"660","Snapper North",10,5,3.5,0.5,0.875
"661","Snapper North",11,2,13,0,1
"662","Snapper North",11,5,5,1.5,0.769230769230769
"663","Snapper North",12,2,18.3333333333333,0,1
"664","Snapper North",12,5,13,0.5,0.962962962962963
"665","Snapper North",13,2,11,0,1
"666","Snapper North",13,5,5,2.5,0.666666666666667
"667","Snapper North",14,2,7.33333333333333,0,1
"668","Snapper North",14,5,16.5,2.5,0.868421052631579
"669","Snapper South",1,2,11.6666666666667,0.333333333333333,0.972222222222222
"670","Snapper South",1,5,1,0,1
"671","Snapper South",2,2,4.33333333333333,1.33333333333333,0.764705882352941
"672","Snapper South",2,5,0,0.5,0
"673","Snapper South",3,2,45.3333333333333,1,0.97841726618705
"674","Snapper South",3,5,6.5,0.5,0.928571428571429
"675","Snapper South",4,2,199.666666666667,0,1
"676","Snapper South",4,5,7.5,0.5,0.9375
"677","Snapper South",5,2,72.3333333333333,0,1
"678","Snapper South",5,5,7.5,0,1
"679","Snapper South",6,2,50.6666666666667,0,1
"680","Snapper South",6,5,3,0,1
"681","Snapper South",7,2,75.6666666666667,0.333333333333333,0.995614035087719
"682","Snapper South",7,5,2.5,0,1
"683","Snapper South",8,2,57.6666666666667,0,1
"684","Snapper South",8,5,2,0,1
"685","Snapper South",9,2,23.6666666666667,0,1
"686","Snapper South",9,5,3,0,1
"687","Snapper South",10,2,30.6666666666667,0,1
"688","Snapper South",10,5,1,0,1
"689","Snapper South",11,2,28.3333333333333,0,1
"690","Snapper South",11,5,6,0,1
"691","Snapper South",12,2,31.3333333333333,0,1
"692","Snapper South",12,5,5,0.5,0.909090909090909
"693","Snapper South",13,2,20.3333333333333,0,1
"694","Snapper South",13,5,3,0,1
"695","Snapper South",14,2,20,0,1
"696","Snapper South",14,5,1,0,1
"697","Border",15,5,2.33333333333333,0.333333333333333,0.875
"698","Border",17,5,0.666666666666667,0,1
"699","Border",19,5,2.33333333333333,0,1
"700","Border",21,5,7.33333333333333,0.333333333333333,0.956521739130435
"701","Border",23,5,9.33333333333333,0,1
"702","Border",25,5,7.33333333333333,0,1
"703","Fitzroy West LTMP",15,5,0.333333333333333,0.333333333333333,0.5
"704","Fitzroy West LTMP",17,5,6.66666666666667,0,1
"705","Fitzroy West LTMP",19,5,5.66666666666667,0.333333333333333,0.944444444444445
"706","Fitzroy West LTMP",21,5,9,0.666666666666667,0.931034482758621
"707","Fitzroy West LTMP",23,5,8,0,1
"708","Fitzroy West LTMP",25,5,13.6666666666667,1.66666666666667,0.891304347826087
"709","Green",15,5,6.66666666666667,0.333333333333333,0.952380952380952
"710","Green",17,5,7,0.666666666666667,0.91304347826087
"711","Green",19,5,10.6666666666667,0,1
"712","Green",21,5,5,1,0.833333333333333
"713","Green",23,5,17.3333333333333,1.33333333333333,0.928571428571429
"714","Green",25,5,23.6666666666667,1.33333333333333,0.946666666666667
"715","Havannah North",15,5,3.33333333333333,0.333333333333333,0.909090909090909
"716","Havannah North",17,5,10,0,1
"717","Havannah North",19,5,1.66666666666667,0,1
"718","Havannah North",21,5,2.33333333333333,9.33333333333333,0.2
"719","Havannah North",23,5,11,62.3333333333333,0.15
"720","Havannah North",25,5,8.33333333333333,77.3333333333333,0.0972762645914397
"721","Hayman",15,5,6.33333333333333,0.333333333333333,0.95
"722","Hayman",17,5,3,0,1
"723","Hayman",19,5,5.33333333333333,0.333333333333333,0.941176470588235
"724","Hayman",21,5,18,1,0.947368421052632
"725","Hayman",23,5,14,0,1
"726","Hayman",25,5,11.3333333333333,0,1
"727","Langford",15,5,1.33333333333333,0,1
"728","Langford",17,5,1,0,1
"729","Langford",19,5,0.666666666666667,0,1
"730","Langford",21,5,5.33333333333333,0.333333333333333,0.941176470588235
"731","Langford",23,5,4,0,1
"732","Langford",25,5,4,0.333333333333333,0.923076923076923
"733","Low Isles",15,5,0.333333333333333,0.333333333333333,0.5
"734","Low Isles",17,5,2,0.333333333333333,0.857142857142857
"735","Low Isles",19,5,0.5,0,1
"736","Low Isles",21,5,3,0,1
"737","Low Isles",25,5,6.33333333333333,1.33333333333333,0.826086956521739
"738","Middle Rf LTMP",15,2,0,10,0
"739","Middle Rf LTMP",17,2,3,5.33333333333333,0.36
"740","Middle Rf LTMP",19,2,2,3.66666666666667,0.352941176470588
"741","Middle Rf LTMP",21,2,3.66666666666667,6,0.379310344827586
"742","Pandora North",15,5,2.33333333333333,1.66666666666667,0.583333333333333
"743","Pandora North",17,5,1.33333333333333,1.66666666666667,0.444444444444444
"744","Pandora North",19,5,1.33333333333333,7,0.16
"745","Pandora North",21,5,1.66666666666667,4,0.294117647058824
"746","Pandora North",23,5,1.66666666666667,3.66666666666667,0.3125
"747","Pandora North",25,5,2.66666666666667,5.66666666666667,0.32
