"","REEF","VISIT_NO","DEPTH","Acroporidae","Dendrophylliidae","propAC"
"131","Dunk North",7,2,8,16,0.333333333333333
"132","Dunk North",7,5,9,58,0.134328358208955
"133","Dunk North",8,2,10,96,0.0943396226415094
"134","Dunk North",8,5,12,213.5,0.0532150776053215
"135","Dunk North",9,2,31.5,397.5,0.0734265734265734
"136","Dunk North",9,5,14,735,0.0186915887850467
"137","Dunk North",10,2,30.5,387,0.0730538922155689
"138","Dunk North",10,5,24,804,0.0289855072463768
"139","Dunk North",12,2,19.5,413.5,0.0450346420323326
"140","Dunk North",12,5,18.5,750,0.0240728692257645
"141","Dunk North",13,2,21,507,0.0397727272727273
"142","Dunk North",13,5,8.5,471,0.0177267987486966
"143","Dunk North",14,2,40.5,311.5,0.115056818181818
"144","Dunk North",14,5,15.5,356.5,0.0416666666666667
"145","Dunk South",1,2,7,1.5,0.823529411764706
"146","Dunk South",1,5,5,7,0.416666666666667
"147","Dunk South",2,2,13.5,3.5,0.794117647058823
"148","Dunk South",2,5,5,9,0.357142857142857
"149","Dunk South",4,2,23.5,1,0.959183673469388
"150","Dunk South",4,5,38.5,12.5,0.754901960784314
"151","Dunk South",6,2,27,5.5,0.830769230769231
"152","Dunk South",6,5,45,24,0.652173913043478
"153","Dunk South",7,2,2,3,0.4
"154","Dunk South",7,5,13,5,0.722222222222222
"155","Dunk South",8,2,29,23,0.557692307692308
"156","Dunk South",8,5,16.5,60.5,0.214285714285714
"157","Dunk South",10,2,116.5,66,0.638356164383562
"158","Dunk South",10,5,36,215,0.143426294820717
"159","Dunk South",12,2,36,68,0.346153846153846
"160","Dunk South",12,5,26.5,218,0.10838445807771
"161","Dunk South",13,2,33,59,0.358695652173913
"162","Dunk South",13,5,31.5,145.5,0.177966101694915
"163","Dunk South",14,2,30,24.5,0.55045871559633
"164","Dunk South",14,5,32,91,0.260162601626016
"165","Fitzroy East",1,2,18.5,0,1
"166","Fitzroy East",1,5,16.5,0.5,0.970588235294118
"167","Fitzroy East",2,2,10,0,1
"168","Fitzroy East",2,5,13.5,0,1
"169","Fitzroy East",3,2,16.5,1,0.942857142857143
"170","Fitzroy East",3,5,27.5,0,1
"171","Fitzroy East",4,2,20.5,0,1
"172","Fitzroy East",4,5,19.5,0.5,0.975
"173","Fitzroy East",6,2,22.5,0,1
"174","Fitzroy East",6,5,18,1.5,0.923076923076923
"175","Fitzroy East",7,2,21,0,1
"176","Fitzroy East",7,5,10.5,1,0.91304347826087
"177","Fitzroy East",8,2,41,0,1
"178","Fitzroy East",8,5,17.5,0.5,0.972222222222222
"179","Fitzroy East",10,2,78,0,1
"180","Fitzroy East",10,5,30,0,1
"181","Fitzroy East",12,2,42.5,0,1
