P_CODE,NRM_REGION,DEPTH,A_SECTOR,SHELF,FULLREEF_ID,REEF_ID,REEF_NAME,REEF,AIMS_REEF_NAME,subregion
IN,Wet Tropics,2,IN,I,17013S,17013,ROUND-RUSSELL REEF,Franklands West,Frankland Islands,Johnstone
IN,Wet Tropics,2,CA,I,16054S,16054,FITZROY ISLAND REEF,Fitzroy East,Fitzroy Island,Johnstone
IN,Wet Tropics,5,CA,I,16006S,16006,SNAPPER REEF,Snapper South,Snapper Island,Daintree
IN,Burdekin,5,TO,I,18051S,18051,PANDORA REEF,Pandora,Pandora Reef,Burdekin
IN,Wet Tropics,2,IN,I,18001S,18001,RICHARDS (BEDARRA) REEF,Bedarra,Bedarra Island,Tully
IN,Mackay Whitsunday,2,WH,I,20048S,20048,SHUTE REEF,Shute Harbour,Shute Island and Tancred Island,Proserpine
IN,Fitzroy,2,CB,I,23017S,23017,PELICAN ISLAND REEF(23017),Pelican,Pelican Island,Fitzroy
IN,Wet Tropics,5,IN,I,17053S,17053,STINGAREE REEFS,Dunk North,Dunk Island,Tully
IN,Mackay Whitsunday,2,WH,I,20035S,20035,DAYDREAM REEF,Daydream,Daydream Island,Proserpine
IN,Mackay Whitsunday,5,WH,I,20095S,20095,SEAFORTH REEF,Seaforth,Seaforth Island,Proserpine
RAP,,5,PO,M,21064S,21064,21064S,Reef 21064,Reef 21-064,NA
RAP,,5,SW,M,21245S,21245,21245S,Reef 21245,Reef 21-245,NA
RAP,,5,SW,O,21296S,21296,21296S,Reef 21296,Reef 21-296,NA
RM,,5,CG,M,11049S,11049,11049S,11049S,11049S,NA
RM,,5,CG,O,12056S,12056,MANTIS REEF,MANTIS REEF,Mantis Reef,NA
RM,,5,CL,I,14126S,14126,LINNET REEF,Linnet,Linnet Reef,NA
RAP,,5,CA,M,16064S,16064,ARLINGTON REEF,Arlington,Arlington Reef,NA
RAP,,5,TO,M,18030S,18030,KELSO REEF,Kelso,Kelso Reef,NA
RM,,5,TO,O,18034S,18034,MYRMIDON REEF,Myrmidon,Myrmidon Reef,NA
RM,,5,WH,M,19131S,19131,19131S,Reef 19131,Reef 19-131,NA
RAP,,5,SW,O,21558S,21558,21558S,Reef 21558,Reef 21-558,NA
RAP,,5,SW,O,21558S,21558,21558S,Reef 21558,Reef 21-558,NA
RM,,5,SW,M,22102S,22102,CHINAMAN REEF(22102),Chinaman Reef,Chinaman Reef (22-102),NA
RAP,,5,CB,O,23048S,23048,BROOMFIELD REEF,Broomfield,Broomfield Reef,NA
RM,,5,CB,O,23055S,23055,ONE TREE REEF,One Tree,One Tree Island,NA
RM,,5,CB,O,23055S,23055,ONE TREE REEF,One Tree,One Tree Island,NA
RAP,,5,PO,M,20353S,20353,20353S,Reef 20353,Reef 20-353,NA
RAP,,5,PO,M,20351B,20351,POMPEY REEF (NO 2),Pompey 2,Pompey Reef No.2,NA
RAP,,5,PO,M,21025S,21025,PENRITH REEF,Penrith,Penrith Island,NA
RAP,,5,CB,O,23045A,23045,NORTH REEF (NORTH),North Reef North,North Island,NA
RAP,,5,PO,M,21062S,21062,21062S,Reef 21062,Reef 21-062,NA
RAP,,5,SW,M,21584S,21584,JENKINS REEF,Jenkins,Jenkins Reef,NA
RAP,,5,CB,O,23082S,23082,LADY MUSGRAVE REEF,Lady Musgrave,Lady Musgrave Island,NA
RM,,5,CA,O,16025S2,16025,OPAL (2),Opal 2,Opal Reef,NA
RM,,5,WH,O,19159S,19159,SLATE REEF,Slate,Slate Reef,NA
RAP,,5,IN,M,16071S,16071,MOORE REEF,Moore,Moore Reef,NA
RM,,5,CA,O,16019S,16019,ST CRISPIN REEF,St Crispin,St. Crispin Reef,NA
RM,,5,CL,O,14137S,14137,CARTER REEF,Carter,Carter Reef,NA
RM,,5,CL,O,14137S,14137,CARTER REEF,Carter,Carter Reef,NA
RM,,5,CL,M,14143S,14143,NORTH DIRECTION REEF,North Direction,North Direction Island,NA
RM,,5,CA,M,16068S,16068,THETFORD REEF,THETFORD REEF,Thetford Reef,NA
RAP,,5,TO,M,18088S,18088,CENTIPEDE REEF,Centipede,Centipede Reef,NA
RAP,,5,IN,M,17016S,17016,MCCULLOCH,Mcculloch,McCulloch Reef,NA
RAP,,5,IN,M,17034S,17034,FEATHER REEF,Feather,Feather Reef,NA
RAP,,5,IN,M,17063A,17063,FARQUHARSON REEF (NO 1),Farquharson 1,Farquarson Reef,NA
RAP,,5,IN,M,17064S,17064,TAYLOR REEF,Taylor,Taylor Reef,NA
RAP,,5,TO,M,18030S,18030,KELSO REEF,Kelso,Kelso Reef,NA
RM,,5,WH,M,20104S,20104,20104S,Reef 20104,Reef 20-104,NA
RM,Burdekin,2,TO,I,19011S,19011,MIDDLE REEF(19011),Middle Rf LTMP,Middle Reef,Burdekin
RM,,5,SW,M,22088S,22088,SNAKE (22088),Snake,Snake Reef,NA
RM,,5,CB,O,23048S,23048,BROOMFIELD REEF,Broomfield,Broomfield Reef,NA
RAP,,5,PO,M,20348S,20348,20348S,Reef 20348,Reef 20-348,NA
RAP,,5,PO,M,20348S,20348,20348S,Reef 20348,Reef 20-348,NA
RAP,,5,PO,M,20351A,20351,POMPEY REEF (NO 1),Pompey 1,Pompey Reef No.1,NA
RAP,,5,PO,M,20351A,20351,POMPEY REEF (NO 1),Pompey 1,Pompey Reef No.1,NA
RAP,,5,SW,M,21572S,21572,SMALL LAGOON REEF,Small Lagoon,Small Lagoon Reef,NA
RAP,,5,CB,O,23068S,23068,ERSKINE REEF,Erskine,Erskine Island,NA
RAP,,5,CB,O,23068S,23068,ERSKINE REEF,Erskine,Erskine Island,NA
RAP,,5,CB,O,23081S,23081,FAIRFAX ISLANDS REEF,Fairfax Islands,Fairfax Island,NA
RAP,,5,CB,O,23080S,23080,HOSKYN ISLANDS REEF,Hoskyn Islands,Hoskyn Island,NA
RAP,,5,PO,M,21062S,21062,21062S,Reef 21062,Reef 21-062,NA
RM,,5,PC,O,14045S,14045,SAND BANK NO 1 REEF,SAND BANK NO 1 REEF,Sand bank No.1,NA
RM,,5,CA,O,16025S2,16025,OPAL (2),Opal 2,Opal Reef,NA
RM,,5,CA,O,16025S2,16025,OPAL (2),Opal 2,Opal Reef,NA
RM,,5,WH,O,19207S,19207,HYDE REEF,Hyde,Hyde Reef,NA
RM,,5,TO,M,18032S,18032,RIB REEF,Rib,Rib Reef,NA
RMRAP,,5,TO,M,18032S,18032,RIB REEF,Rib,Rib Reef,NA
RM,,5,SW,M,22104S,22104,HORSESHOE,Horseshoe,Horseshoe Reef,NA
RAP,,5,SW,M,21278S,21278,21278S,Reef 21278,Reef 21-278,NA
RM,,5,PC,M,14016S,14016,CORBETT REEF,CORBETT REEF,Corbett Reef,NA
RM,Wet Tropics,5,CA,I,16049S,16049,GREEN ISLAND REEF,Green,Green Island,Johnstone
RM,Wet Tropics,5,CA,I,16054S,16054,FITZROY ISLAND REEF,Fitzroy West LTMP,Fitzroy Island,Johnstone
RMRAP,,5,CA,M,16057S,16057,HASTINGS REEF,Hastings,Hastings Reef,NA
RM,,5,CA,M,16068S,16068,THETFORD REEF,Thetford,Thetford Reef,NA
RAP,,5,TO,O,18083S,18083,FORK REEF,Fork,Fork Reef,NA
RM,,5,TO,M,18096S,18096,DAVIES REEF,Davies,Davies Reef,NA
RAP,,5,IN,M,17064S,17064,TAYLOR REEF,Taylor,Taylor Reef,NA
RM,Mackay Whitsunday,5,WH,I,20014S,20014,HAYMAN ISLAND REEF,Hayman,Hayman Island,Proserpine
RM,Burdekin,2,TO,I,19011S,19011,MIDDLE REEF(19011),Middle Rf LTMP,Middle Reef,Burdekin
RM,,5,SW,M,21556S,21556,GANNETT CAY REEF,Gannett Cay,Gannet Cay,NA
RMRAP,,5,CB,O,23048S,23048,BROOMFIELD REEF,Broomfield,Broomfield Reef,NA
RAP,,5,PO,M,20353S,20353,20353S,Reef 20353,Reef 20-353,NA
RAP,,5,CB,O,23079S,23079,BOULT REEF,Boult,Boult Reef,NA
RM,,5,CL,M,14114S,14114,MACGILLIVRAY REEF,Macgillivray,Macgillivray Reef,NA
RAP,,5,IN,M,17024S,17024,PEART REEF,Peart,Peart Reef,NA
RAP,,5,SW,M,21139S,21139,21139S,Reef 21139,Reef 21-139,NA
RAP,,5,PO,M,21064S,21064,21064S,Reef 21064,Reef 21-064,NA
RAP,,5,SW,M,21278S,21278,21278S,Reef 21278,Reef 21-278,NA
RM,Wet Tropics,5,CA,I,16028S,16028,LOW ISLANDS REEF,Low Isles,Low Isles,Daintree
RM,,5,CL,O,14139S,14139,NO NAME REEF,No Name,No Name Reef,NA
RMRAP,,5,CA,M,16068S,16068,THETFORD REEF,Thetford,Thetford Reef,NA
RAP,,5,TO,M,18076S,18076,HELIX REEF,Helix,Helix Reef,NA
RAP,,5,TO,M,18077S,18077,GRUB REEF(18077),Grub,Grub Reef (18-077),NA
RAP,,5,TO,O,18081S,18081,KNIFE REEF,Knife,Knife Reef,NA
RAP,,5,TO,O,18081S,18081,KNIFE REEF,Knife,Knife Reef,NA
RMRAP,,5,TO,O,18086S,18086,CHICKEN REEF,Chicken,Chicken Reef,NA
RAP,,5,TO,M,18091S,18091,LYNCHS REEF,Lynchs,Lynchs Reef,NA
RAP,,5,TO,M,18043S,18043,FORE AND AFT REEF,Fore And Aft,Fore and Aft Reef,NA
RM,Mackay Whitsunday,5,WH,I,20014S,20014,HAYMAN ISLAND REEF,Hayman,Hayman Island,Proserpine
RM,,5,SW,M,22088S,22088,SNAKE (22088),Snake,Snake Reef,NA
RM,,5,SW,M,21529S,21529,21529S,Reef 21529,Reef 21-529,NA
RAP,,5,SW,M,21550S,21550,21550S,Reef 21550,Reef 21-550,NA
RM,,5,SW,O,21562S,21562,TURNER REEF,Turner,Turner Cay,NA
RAP,,5,PO,M,20351B,20351,POMPEY REEF (NO 2),Pompey 2,Pompey Reef No.2,NA
RAP,,5,CB,O,23079S,23079,BOULT REEF,Boult,Boult Reef,NA
RAP,,5,SW,M,22084S,22084,22084S,Reef 22084,Reef 22-084,NA
RAP,,5,CB,O,23045A,23045,NORTH REEF (NORTH),North Reef North,North Island,NA
RAP,,5,TO,M,18031S,18031,LITTLE KELSO REEF,Little Kelso,Little Kelso Reef,NA
RM,,5,TO,M,18032S,18032,RIB REEF,Rib,Rib Reef,NA
RAP,,5,PO,M,21064S,21064,21064S,Reef 21064,Reef 21-064,NA
RM,Wet Tropics,5,CA,I,16054S,16054,FITZROY ISLAND REEF,Fitzroy West LTMP,Fitzroy Island,Johnstone
RMRAP,,5,CA,M,16064S,16064,ARLINGTON REEF,Arlington,Arlington Reef,NA
RMRAP,,5,CA,O,15099C,15099,AGINCOURT REEFS (NO 1),Agincourt 1,Agincourt Reef No.1,NA
RM,,5,CA,O,15099C,15099,AGINCOURT REEFS (NO 1),Agincourt 1,Agincourt Reef No.1,NA
RM,Burdekin,5,TO,I,18051S,18051,PANDORA REEF,Pandora North,Pandora Reef,Burdekin
RM,,5,TO,M,18075S,18075,JOHN BREWER REEF,John Brewer,John Brewer Reef,NA
RM,,5,TO,O,18086S,18086,CHICKEN REEF,Chicken,Chicken Reef,NA
RM,Mackay Whitsunday,5,WH,I,20019S,20019,LANGFORD-BIRD REEF,Langford,Langford and Bird Isles,Proserpine
RM,,5,WH,O,19209S,19209,REBE REEF,Rebe,Rebe Reef,NA
RM,,5,WH,O,19209S,19209,REBE REEF,Rebe,Rebe Reef,NA
RMRAP,,5,SW,M,22102S,22102,CHINAMAN REEF(22102),Chinaman Reef,Chinaman Reef (22-102),NA
RAP,,5,CB,O,23068S,23068,ERSKINE REEF,Erskine,Erskine Island,NA
RAP,,5,PO,M,21060S,21060,21060S,Reef 21060,Reef 21-060,NA
RAP,,5,PO,M,21591S,21591,21591S,Reef 21591,Reef 21-591,NA
RAP,,5,PO,M,21591S,21591,21591S,Reef 21591,Reef 21-591,NA
RM,Mackay Whitsunday,5,WH,I,20067A,20067,BORDER ISLAND REEF (NO 1),Border,Border Island,Proserpine
RAP,,5,IN,O,17014S,17014,HEDLEY REEF,Hedley,Hedley Reef,NA
RMRAP,,5,CB,O,23082S,23082,LADY MUSGRAVE REEF,Lady Musgrave,Lady Musgrave Island,NA
RM,,5,CL,M,14116S,14116,LIZARD ISLAND,Lizard,Lizard Isles,NA
RAP,,5,TO,M,18031S,18031,LITTLE KELSO REEF,Little Kelso,Little Kelso Reef,NA
RM,,5,SW,O,21305S,21305,EAST CAY REEF,East Cay,East Cay,NA
RAP,,5,SW,O,21296S,21296,21296S,Reef 21296,Reef 21-296,NA
RM,,5,CG,O,12061S,12061,LAGOON REEF,LAGOON REEF,Lagoon Reef,NA
RM,,5,CL,I,14123S,14123,MARTIN REEF(14123),Martin,Martin,NA
RM,,5,CA,O,16019S,16019,ST CRISPIN REEF,St Crispin,St. Crispin Reef,NA
RMRAP,,5,CA,O,16019S,16019,ST CRISPIN REEF,St Crispin,St. Crispin Reef,NA
RM,Wet Tropics,5,CA,I,16049S,16049,GREEN ISLAND REEF,Green,Green Island,Johnstone
RM,Wet Tropics,5,CA,I,16054S,16054,FITZROY ISLAND REEF,Fitzroy West LTMP,Fitzroy Island,Johnstone
RMRAP,,5,CA,M,16057S,16057,HASTINGS REEF,Hastings,Hastings Reef,NA
RM,,5,CA,M,16060S,16060,MICHAELMAS REEF,Michaelmas,Michaelmas Cay,NA
RAP,,5,CA,M,16064S,16064,ARLINGTON REEF,Arlington,Arlington Reef,NA
RM,,5,CA,O,15099C,15099,AGINCOURT REEFS (NO 1),Agincourt 1,Agincourt Reef No.1,NA
RMRAP,,5,CA,M,16068S,16068,THETFORD REEF,Thetford,Thetford Reef,NA
RM,Burdekin,5,TO,I,18051S,18051,PANDORA REEF,Pandora North,Pandora Reef,Burdekin
RM,Burdekin,5,TO,I,18065S,18065,HAVANNAH REEF,Havannah North,Havannah Island,Burdekin
RAP,,5,TO,M,18076S,18076,HELIX REEF,Helix,Helix Reef,NA
RMRAP,,5,TO,O,18086S,18086,CHICKEN REEF,Chicken,Chicken Reef,NA
RM,,5,TO,O,18039S,18039,DIP REEF,Dip,Dip Reef,NA
RAP,,5,TO,M,18042S,18042,ROXBURGH REEF,Roxburgh,Roxburgh Reef,NA
RM,Mackay Whitsunday,5,WH,I,20014S,20014,HAYMAN ISLAND REEF,Hayman,Hayman Island,Proserpine
RM,,5,WH,M,19138S,19138,19138S,Reef 19138,Reef 19-138,NA
RM,,5,CB,O,23051S,23051,WRECK ISLAND REEF,Wreck,Wreck Island,NA
RM,,5,SW,O,21562S,21562,TURNER REEF,Turner,Turner Cay,NA
RAP,,5,CB,O,23081S,23081,FAIRFAX ISLANDS REEF,Fairfax Islands,Fairfax Island,NA
RAP,,5,PO,M,21060S,21060,21060S,Reef 21060,Reef 21-060,NA
RM,Mackay Whitsunday,5,WH,I,20067A,20067,BORDER ISLAND REEF (NO 1),Border,Border Island,Proserpine
RM,,5,CA,M,16015S,16015,MACKAY REEF,Mackay,Mackay Reef,NA
RM,,5,CB,O,23082S,23082,LADY MUSGRAVE REEF,Lady Musgrave,Lady Musgrave Island,NA
RM,,5,CB,O,23082S,23082,LADY MUSGRAVE REEF,Lady Musgrave,Lady Musgrave Island,NA
RMRAP,,5,CB,O,23082S,23082,LADY MUSGRAVE REEF,Lady Musgrave,Lady Musgrave Island,NA
RAP,,5,CB,O,23082S,23082,LADY MUSGRAVE REEF,Lady Musgrave,Lady Musgrave Island,NA
RM,,5,WH,O,19159S,19159,SLATE REEF,Slate,Slate Reef,NA
RMRAP,,5,SW,O,21305S,21305,EAST CAY REEF,East Cay,East Cay,NA
RM,,5,SW,O,21305S,21305,EAST CAY REEF,East Cay,East Cay,NA
RM,,5,CL,O,14138S,14138,YONGE REEF,Yonge,Yonge Reef,NA
RM,,5,SW,M,22104S,22104,HORSESHOE,Horseshoe,Horseshoe Reef,NA
RAP,,5,SW,M,21187S,21187,21187S,Reef 21187,Reef 21-187,NA
RAP,,5,SW,M,21187S,21187,21187S,Reef 21187,Reef 21-187,NA
RAP,,5,SW,O,21302S,21302,21302S,Reef 21302,Reef 21-302,NA
RM,,5,PC,O,13130S,13130,DAVIE REEF,DAVIE REEF,Davie Reef,NA
RMRAP,,5,CA,O,16019S,16019,ST CRISPIN REEF,St Crispin,St. Crispin Reef,NA
RM,,5,CA,M,16068S,16068,THETFORD REEF,Thetford,Thetford Reef,NA
